ANNEE,PREMPRENOM,NOMBREPREMPRENOM,ORDRE
2011,LÉA,59,8
2011,GABRIEL,58,9
2011,JULES,58,10
2011,CLÉMENT,57,11
2011,CHLOÉ,55,12
2011,LÉO,55,13
2011,CAMILLE,52,14
2011,LOLA,52,15
2011,NATHAN,50,16
2011,ETHAN,49,17
2011,THÉO,49,18
2011,ZOÉ,49,19
2011,SARAH,48,20
2011,TOM,48,21
2011,MANON,47,22
2011,PAUL,46,23
2011,INÈS,45,24
2011,JADE,45,25
2011,NOAH,44,26
2011,SACHA,42,27
2011,ENZO,41,28
2011,ANTOINE,40,29
2011,JULIETTE,40,30
2011,THOMAS,40,31
2011,LINA,38,32
2011,YANIS,38,33
2011,AXEL,35,34
2011,CLARA,35,35
2011,RAPHAËL,35,36
2011,ALICE,33,37
2011,JEANNE,33,38
2011,RAYAN,33,39
2011,ROMANE,33,40
2011,NOÉ,32,41
2011,LÉNA,31,42
2011,MATHIS,31,43
2011,LUCIE,30,44
2011,VICTOR,30,45
2011,GABIN,29,46
2011,MATHÉO,29,47
2011,AARON,28,48
2011,ALEXIS,28,49
2011,ANNA,28,50
2011,EVA,28,51
2011,MAËL,28,52
2011,MAXENCE,28,53
2011,NINA,28,54
2011,VALENTIN,28,55
2011,ANAÏS,27,56
2011,NOLAN,27,57
2011,MARGOT,26,58
2011,EVAN,24,59
2011,LISA,24,60
2011,TIMÉO,24,61
2011,ADAM,23,62
2011,ALEXANDRE,23,63
2011,BAPTISTE,23,64
2011,MARTIN,23,65
2011,NOA,23,66
2011,CLÉMENCE,22,67
2011,ELISA,22,68
2011,LOUNA,22,69
2011,ESTEBAN,21,70
2011,GASPARD,21,71
2011,SAMUEL,21,72
2011,SIMON,21,73
2011,JULIE,20,74
2011,LILOU,20,75
2011,LILY,20,76
2011,LOU,20,77
2011,LUNA,20,78
2011,MARIUS,20,79
2011,MATHILDE,20,80
2011,OCÉANE,20,81
2011,ROMAIN,19,82
2011,ALICIA,18,83
2011,AMBRE,18,84
2011,CHARLOTTE,18,85
2011,ELIOTT,18,86
2011,LÉONIE,18,87
2011,MARGAUX,18,88
2011,NOÉMIE,18,89
2011,PAULINE,18,90
2011,QUENTIN,18,91
2011,JULIA,17,92
2011,LIAM,17,93
2011,ADÈLE,16,94
2011,ELISE,16,95
2011,LANA,16,96
2011,MARIE,16,97
2011,INAYA,15,98
2011,MÉLISSA,15,99
2011,MOHAMED,15,100
2010,ARTHUR,70,1
2010,JULES,67,2
2010,CAMILLE,65,3
2010,CHLOÉ,65,4
2010,LOUIS,62,5
2010,EMMA,61,6
2010,ENZO,60,7
2010,LOUISE,60,8
2010,ETHAN,59,9
2010,MANON,57,10
2010,JADE,56,11
2010,NATHAN,56,12
2010,GABRIEL,55,13
2010,LUCAS,54,14
2010,PAUL,54,15
2010,INÈS,51,16
2010,TOM,51,17
2010,ZOÉ,51,18
2010,LÉO,50,19
2010,HUGO,49,20
2010,CLÉMENT,48,21
2010,ANTOINE,47,22
2010,MATHIS,44,23
2010,LOLA,43,24
2010,RAPHAËL,42,25
2010,SARAH,42,26
2010,LÉA,41,27
2010,MAËL,41,28
2010,MAXIME,41,29
2010,JULIETTE,40,30
2010,EVA,39,31
2010,SACHA,39,32
2010,JEANNE,38,33
2010,ALICE,35,34
2010,ANNA,35,35
2010,THOMAS,35,36
2010,ADAM,34,37
2010,NOLAN,33,38
2010,AXEL,32,39
2010,CLARA,32,40
2010,LOU,32,41
2010,ROMANE,31,42
2010,THÉO,31,43
2010,YANIS,31,44
2010,EVAN,30,45
2010,LÉNA,30,46
2010,LILOU,30,47
2010,NOA,30,48
2010,ANAÏS,29,49
2010,NOAH,29,50
2010,LUCIE,28,51
2010,MATHÉO,28,52
2010,SIMON,28,53
2010,VALENTIN,28,54
2010,BAPTISTE,27,55
2010,LINA,27,56
2010,LOUNA,27,57
2010,MARTIN,27,58
2010,CHARLOTTE,26,59
2010,NOÉ,26,60
2010,OSCAR,25,61
2010,RAYAN,25,62
2010,AMBRE,24,63
2010,TIMÉO,24,64
2010,ALEXANDRE,23,65
2010,GASPARD,23,66
2010,LISA,23,67
2010,ALEXIS,22,68
2010,KYLIAN,22,69
2010,MARIE,22,70
2010,MATHILDE,22,71
2010,MAXENCE,22,72
2010,PAULINE,22,73
2010,VICTOR,21,74
2010,AGATHE,20,75
2010,JULIA,20,76
2010,PIERRE,20,77
2010,SAMUEL,20,78
2010,CHARLIE,19,79
2010,ESTEBAN,19,80
2010,LÉONIE,19,81
2010,LIAM,19,82
2010,LILY,19,83
2010,LOUANE,19,84
2010,NINA,19,85
2010,QUENTIN,19,86
2010,ROSE,19,87
2010,BENJAMIN,18,88
2010,CAPUCINE,18,89
2010,DIEGO,18,90
2010,FAUSTINE,18,91
2010,LENNY,18,92
2010,LORENZO,18,93
